Chinesezjc/dsh-interconnect	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
ChuanTianML/dsh-island	NO_PACKAGE_JSON	-
Chungor/owlx-mcp	NO_PACKAGE_JSON	-
Civitasv/dsh-plugin-colorscheme	HAS_DSH_NO_PATCH	dsdeps=8 cordis=1
CrazyShout/dsh-ssh-remote	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
DGPisces/deepseek-harness-openai-oauth	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
DDDFXYqiming/Agent_Extensions	NO_PACKAGE_JSON	-
ChuanTianML/dsh-open-with	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
DTSFO/dsh-model-modes	BUNDLE_PATCH	patch=string dsdeps=13 cordis=1
Deklan-Deng/Dcode	NO_DSH_FIELD	dsdeps=0 cordis=0
ChuanTianML/dsh-share	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
Demogorgon314/dsh-resume-plugin	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
Devin-AXIS/iPolloWork	NO_DSH_FIELD	dsdeps=0 cordis=0
Dino6021/dsh-usage-cost	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Dominic789654/awesome-deepseek-harness	NO_PACKAGE_JSON	-
Electricitysheep/dsh-handbook	NO_PACKAGE_JSON	-
DTSFO/dsh-conversation-rewind	BUNDLE_PATCH	patch=string dsdeps=18 cordis=1
Elaina-real/dsh-tiered-approval	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
Electricitysheep/dsh-tool-turbo	NO_DSH_FIELD	dsdeps=3 cordis=1
Elohia/dsh-plugin-mm-vision	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Degurechaff57/dsh-openapi	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
Equinox7379/dsh-config-watch	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Elohia/pi-mm-vision	NO_DSH_FIELD	dsdeps=0 cordis=0
